sale_id,date,customer_id,product,category,quantity,unit_price,sales_rep,total_sales
1,2023-11-24,103,Tablet,Computers,4,127.19,Bob,508.76
2,2023-02-27,180,Laptop,Accessories,3,270.06,Alice,810.1800000000001
3,2023-01-13,93,Keyboard,Computers,4,328.97,Bob,1315.88
4,2023-05-21,15,Charger,Accessories,7,325.85,Diana,2280.9500000000003
5,2023-05-06,107,Phone,Electronics,1,285.03,Bob,285.03
6,2023-04-25,72,Headphones,Computers,7,390.69,Charlie,2734.83
7,2023-03-13,189,Webcam,Computers,1,110.44,Charlie,110.44
8,2023-02-22,21,Monitor,Accessories,2,365.56,Eve,731.12
9,2023-12-13,103,Charger,Computers,4,313.67,Charlie,1254.68
10,2023-10-07,122,Mouse,Accessories,1,449.08,Bob,449.08
11,2023-02-14,75,Tablet,Accessories,9,425.13,Charlie,3826.17
12,2023-10-30,88,Webcam,Accessories,6,164.42,Alice,986.52
13,2023-08-05,117,Headphones,Accessories,1,145.36,Charlie,145.36
14,2023-01-17,100,Phone,Electronics,1,491.01,Diana,491.01
15,2023-01-16,104,Laptop,Accessories,6,268.36,Alice,1610.16
16,2023-02-17,152,Headphones,Audio,4,454.15,Eve,1816.6
17,2023-04-22,131,Webcam,Computers,4,90.3,Diana,361.2
18,2023-04-30,150,Headphones,Audio,6,324.98,Bob,1949.88
19,2023-09-16,53,Webcam,Electronics,7,406.83,Bob,2847.81
20,2023-11-05,2,Webcam,Audio,9,474.22,Bob,4267.9800000000005
21,2023-01-14,88,Speaker,Computers,10,175.3,Diana,1753.0
22,2023-10-15,158,Monitor,Audio,5,365.24,Diana,1826.2
23,2023-04-12,38,Tablet,Electronics,9,274.02,Diana,2466.18
24,2023-11-29,130,Speaker,Accessories,4,39.71,Alice,158.84
25,2023-12-26,192,Phone,Audio,10,348.1,Alice,3481.0
26,2023-10-07,188,Speaker,Electronics,2,348.15,Bob,696.3
27,2023-08-03,21,Keyboard,Electronics,3,466.0,Charlie,1398.0
28,2023-04-23,161,Keyboard,Computers,1,253.68,Bob,253.68
29,2023-08-18,58,Tablet,Computers,6,122.82,Eve,736.92
30,2023-10-29,22,Headphones,Audio,6,31.84,Alice,191.04
31,2023-05-23,89,Monitor,Accessories,1,213.66,Diana,213.66
32,2023-01-04,49,Tablet,Electronics,3,157.94,Alice,473.82
33,2023-03-23,59,Webcam,Audio,5,382.93,Diana,1914.65
34,2023-12-24,170,Mouse,Electronics,3,183.59,Eve,550.77
35,2023-08-05,188,Monitor,Electronics,10,475.04,Eve,4750.400000000001
36,2023-06-24,15,Monitor,Accessories,3,481.53,Alice,1444.59
37,2023-05-23,190,Webcam,Accessories,10,314.25,Diana,3142.5
38,2023-03-21,190,Webcam,Audio,3,465.04,Eve,1395.1200000000001
39,2023-04-21,175,Laptop,Accessories,5,382.82,Bob,1914.1
40,2023-06-22,190,Tablet,Accessories,5,277.96,Bob,1389.8
41,2023-02-22,51,Webcam,Audio,4,98.35,Diana,393.4
42,2023-02-17,108,Keyboard,Accessories,1,234.71,Alice,234.71
43,2023-07-14,55,Phone,Computers,5,284.83,Eve,1424.1499999999999
44,2023-02-19,64,Mouse,Electronics,10,433.34,Alice,4333.4
45,2023-07-03,131,Tablet,Electronics,5,245.85,Bob,1229.25
46,2023-06-26,51,Charger,Electronics,4,449.86,Eve,1799.44
47,2023-11-06,135,Keyboard,Electronics,6,340.43,Alice,2042.58
48,2023-05-16,21,Headphones,Audio,10,77.13,Charlie,771.3
49,2023-01-23,73,Webcam,Electronics,4,497.54,Diana,1990.16
50,2023-08-24,167,Charger,Electronics,7,268.34,Diana,1878.3799999999999
51,2023-10-02,18,Webcam,Electronics,7,202.01,Charlie,1414.07
52,2023-03-05,132,Monitor,Electronics,2,332.97,Bob,665.94
53,2023-07-13,89,Keyboard,Computers,3,63.36,Eve,190.07999999999998
54,2023-02-10,60,Monitor,Electronics,1,321.9,Diana,321.9
55,2023-10-10,14,Laptop,Computers,8,254.14,Charlie,2033.12
56,2023-05-31,9,Monitor,Audio,9,209.27,Charlie,1883.43
57,2023-11-18,90,Laptop,Accessories,4,476.98,Bob,1907.92
58,2023-11-13,53,Laptop,Electronics,6,266.04,Bob,1596.2400000000002
59,2023-07-05,130,Charger,Accessories,9,117.37,Alice,1056.33
60,2023-10-23,84,Webcam,Accessories,6,234.89,Diana,1409.34
61,2023-04-09,92,Headphones,Audio,9,460.5,Alice,4144.5
62,2023-12-27,111,Monitor,Accessories,4,96.29,Charlie,385.16
63,2023-02-05,188,Keyboard,Computers,8,114.84,Eve,918.72
64,2023-01-24,199,Laptop,Accessories,9,16.38,Eve,147.42
65,2023-12-05,172,Webcam,Accessories,4,16.95,Bob,67.8
66,2023-04-27,8,Mouse,Accessories,5,416.4,Eve,2082.0
67,2023-05-29,175,Tablet,Electronics,8,368.74,Eve,2949.92
68,2023-02-10,35,Charger,Electronics,10,183.97,Eve,1839.7
69,2023-04-30,81,Headphones,Computers,6,352.17,Charlie,2113.02
70,2023-02-21,164,Speaker,Computers,7,203.65,Eve,1425.55
71,2023-07-14,50,Charger,Electronics,3,476.92,Eve,1430.76
72,2023-05-23,104,Mouse,Computers,7,483.86,Eve,3387.02
